Cod,Ano Letivo,Serie,Andamento adesao,Situacao,Matricula,Escola
1,2019,9,VALOR DEPOSITADO,Aprovado,119075039190,ESCOLA MUNICIPAL ALTIVO CESAR
1,2019,9,VALOR DEPOSITADO,Aprovado,119075039190,ESCOLA MUNICIPAL ALTIVO CESAR
1,2020,1,VALOR DEPOSITADO,Aprovado,202017730112937,CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA
1,2020,1,VALOR DEPOSITADO,Aprovado,202017730112937,CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA
1,2021,2,VALOR DEPOSITADO,Aprovado,202017730112937,CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA
1,2021,2,VALOR DEPOSITADO,Aprovado,202017730112937,CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA
1,2022,3,VALOR DEPOSITADO,Aprovado,202017730112937,CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA
2,2019,9,VALOR DEPOSITADO,Aprovado,113136094637,E M PAULO FREIRE
2,2020,1,VALOR DEPOSITADO,Aprovado,202032261034355,CE RAUL VIDAL
2,2021,2,VALOR DEPOSITADO,Aprovado,202032261034355,CE RAUL VIDAL
2,2022,3,CONCLUIDA,Reprovado,202032261034355,CE RAUL VIDAL
3,2019,9,INSCRICAO PARCIAL,Aprovado,116495000846,E M PAULO FREIRE
3,2020,1,INSCRICAO PARCIAL,Aprovado,202032100402859,CE HILARIO RIBEIRO
3,2021,2,INSCRICAO PARCIAL,Reprovado,202032100402859,CE HILARIO RIBEIRO
6,2019,9,ELEGIVEL,Dep.neste ano,119820626497,E M FRANCISCO PORTUGAL NEVES
7,2019,9,CONCLUIDA,Dep.neste ano,119559373381,ESCOLA MUNICIPAL ALTIVO CESAR
7,2022,3,CONCLUIDA,Reprovado,202031881489024,LICEU NILO PECANHA
7,2023,3,CONCLUIDA,Não avaliado,202031881489024,LICEU NILO PECANHA
8,2019,9,VALOR DEPOSITADO,Aprovado,119566417348,E M PAULO FREIRE
8,2020,1,VALOR DEPOSITADO,Aprovado,202017810087513,CIEP 251 DONA MARIA PORTUGAL
9,2019,9,CONCLUIDA,Reprovado,121127006346,E M RACHIDE DA GLORIA SALIM SAKER
10,2019,9,VALOR DEPOSITADO,Aprovado,121131102451,E M DR ALBERTO FRANCISCO TORRES
10,2020,1,VALOR DEPOSITADO,Aprovado,201532300342310,CE MANUEL DE ABREU
10,2021,2,CONCLUIDA,Reprovado,201532300342310,CE MANUEL DE ABREU
11,2019,9,VALOR DEPOSITADO,Aprovado,116454116807,ESCOLA MUNICIPAL ALTIVO CESAR
12,2019,9,VALOR DEPOSITADO,Aprovado,114279343046,ESCOLA MUNICIPAL ALTIVO CESAR
12,2020,1,VALOR DEPOSITADO,Aprovado,202031900499247,CE MULLULO DA VEIGA
12,2021,2,VALOR DEPOSITADO,Aprovado,202031900499247,CE MULLULO DA VEIGA
12,2022,3,CONCLUIDA,Reprovado,202031900499247,CE MULLULO DA VEIGA
12,2023,3,CONCLUIDA,Não avaliado,202031900499247,CE MULLULO DA VEIGA
13,2019,2,VALOR DEPOSITADO,Aprovado,M07700160,CPII - CAMPUS NITEROI
13,2020,3,CONCLUIDA,Aprovado,M07700160,CPII - CAMPUS NITEROI
14,2019,9,VALOR DEPOSITADO,Aprovado,116807344669,E M RACHIDE DA GLORIA SALIM SAKER
14,2019,9,VALOR DEPOSITADO,Aprovado,116807344669,E M RACHIDE DA GLORIA SALIM SAKER
14,2020,1,VALOR DEPOSITADO,Aprovado,202032050426156,CE DAVID CAPISTRANO
14,2020,1,VALOR DEPOSITADO,Aprovado,202032050426156,CE DAVID CAPISTRANO
14,2021,2,VALOR DEPOSITADO,Aprovado,202032050426156,CE DAVID CAPISTRANO
14,2021,2,VALOR DEPOSITADO,Aprovado,202032050426156,CE DAVID CAPISTRANO
14,2022,3,VALOR DEPOSITADO,Aprovado,202032050426156,CE DAVID CAPISTRANO
15,2019,9,VALOR DEPOSITADO,Aprovado,122531355005,E M LEVI CARNEIRO
15,2019,9,VALOR DEPOSITADO,Aprovado,122531355005,E M LEVI CARNEIRO
15,2020,1,VALOR DEPOSITADO,Aprovado,202032140628955,CE LEOPOLDO FROES
15,2020,1,VALOR DEPOSITADO,Aprovado,202032140628955,CE LEOPOLDO FROES
15,2021,2,VALOR DEPOSITADO,Aprovado,202032140628955,CE LEOPOLDO FROES
15,2021,2,VALOR DEPOSITADO,Aprovado,202032140628955,CE LEOPOLDO FROES
15,2022,3,VALOR DEPOSITADO,Aprovado,202032140628955,CE LEOPOLDO FROES
16,2019,9,VALOR DEPOSITADO,Aprovado,117537810272,E M JOSE DE ANCHIETA
16,2020,1,VALOR DEPOSITADO,Aprovado,202032261058963,CE DOUTOR LUCIANO PESTRE
16,2021,2,CONCLUIDA,Abandonou,202032261058963,CE DOUTOR LUCIANO PESTRE
17,2019,9,VALOR DEPOSITADO,Aprovado,110244844169,E M DR ALBERTO FRANCISCO TORRES
17,2020,1,VALOR DEPOSITADO,Aprovado,202032230538955,CE PINTO LIMA
18,2019,9,VALOR DEPOSITADO,Aprovado,119139237892,E M HONORINA DE CARVALHO
18,2020,1,VALOR DEPOSITADO,Aprovado,202031910514427,CE PAULO ASSIS RIBEIRO
18,2021,2,VALOR DEPOSITADO,Aprovado,202031910514427,CE PAULO ASSIS RIBEIRO
18,2022,3,CONCLUIDA,Reprovado,202031910514427,CE PAULO ASSIS RIBEIRO
18,2023,3,CONCLUIDA,Não avaliado,202031910514427,CE PAULO ASSIS RIBEIRO
19,2019,9,VALOR DEPOSITADO,Aprovado,120202646172,E M LEVI CARNEIRO
19,2020,1,VALOR DEPOSITADO,Aprovado,202031910522284,CE PAULO ASSIS RIBEIRO
20,2019,9,VALOR DEPOSITADO,Aprovado,119577659763,E M LEVI CARNEIRO
20,2019,9,VALOR DEPOSITADO,Aprovado,119577659763,E M LEVI CARNEIRO
20,2020,1,VALOR DEPOSITADO,Aprovado,202032150575010,CE MANUEL DE ABREU
20,2020,1,VALOR DEPOSITADO,Aprovado,202032150575010,CE MANUEL DE ABREU
20,2021,2,CONCLUIDA,Reprovado,202032150575010,CE MANUEL DE ABREU
20,2022,2,CONCLUIDA,Transferido,202032150575010,CE MANUEL DE ABREU
20,2023,3,VALOR DEPOSITADO,Aprovado,202032150575010,CE MANUEL DE ABREU
21,2019,9,INSCRICAO PARCIAL,Aprovado,110622430482,E M RACHIDE DA GLORIA SALIM SAKER
21,2020,1,INSCRICAO PARCIAL,Aprovado,202019340612621,CE DAVID CAPISTRANO
21,2021,2,INSCRICAO PARCIAL,Aprovado,202019340612621,CE DAVID CAPISTRANO
21,2022,3,INSCRICAO PARCIAL,Aprovado,202019340612621,CE DAVID CAPISTRANO
22,2019,9,CONCLUIDA,Reprovado,120798744978,E M LEVI CARNEIRO
22,2020,9,VALOR DEPOSITADO,Aprovado,120798744978,E M LEVI CARNEIRO
22,2021,1,VALOR DEPOSITADO,Aprovado,202131910534777,CE PAULO ASSIS RIBEIRO
22,2022,2,CONCLUIDA,Reprovado,202131910534777,CE PAULO ASSIS RIBEIRO
22,2023,2,CONCLUIDA,Não avaliado,202131910534777,CE PAULO ASSIS RIBEIRO
23,2019,9,VALOR DEPOSITADO,Aprovado,119086977412,ESCOLA MUNICIPAL ALTIVO CESAR
23,2019,9,VALOR DEPOSITADO,Aprovado,119086977412,ESCOLA MUNICIPAL ALTIVO CESAR
23,2020,1,VALOR DEPOSITADO,Aprovado,202031881517842,LICEU NILO PECANHA
23,2020,1,VALOR DEPOSITADO,Aprovado,202031881517842,LICEU NILO PECANHA
23,2021,2,VALOR DEPOSITADO,Aprovado,202031881517842,LICEU NILO PECANHA
23,2021,2,VALOR DEPOSITADO,Aprovado,202031881517842,LICEU NILO PECANHA
23,2022,3,VALOR DEPOSITADO,Aprovado,202031881517842,LICEU NILO PECANHA
24,2019,9,VALOR DEPOSITADO,Aprovado,120604440200,E M HONORINA DE CARVALHO
24,2020,1,VALOR DEPOSITADO,Aprovado,202031881498368,LICEU NILO PECANHA
24,2021,2,VALOR DEPOSITADO,Aprovado,202031881498368,LICEU NILO PECANHA
24,2022,3,CONCLUIDA,Dep.neste ano,202031881498368,LICEU NILO PECANHA
